dataset,ablation,seed,ARI,NMI,AMI,Homogeneity,V-measure,FMI,Silhouette,Initial_DEC_Sil,Initial_DEC_ARI,Peak_DEC_Sil,Delta_DEC_Sil,Peak_DEC_ARI,Best_DEC_Epoch,Runtime_Sec
10x_human_lymph_node_A1,Full_ARISE_v2,42,0.24767712495340888,0.3809349959635856,0.3770364712382662,0.43881507539003645,0.3809349959635856,0.3847080366262161,0.7460789084434509,0.3065498173236847,0.24870549891686528,0.7460789084434509,0.43952909111976624,0.25704104482347734,148,387.15
10x_human_lymph_node_A1,wo_Potts_MRF,42,0.2576346319780399,0.38673004592453897,0.38286023901785443,0.44463958596241066,0.386730045924539,0.393826009507416,0.7552601099014282,0.3075413405895233,0.2493009783201032,0.7552601099014282,0.4477187693119049,0.2621188369178961,149,391.57
10x_human_lymph_node_A1,wo_Sinkhorn_OT,42,0.25495979206007147,0.38619309717176,0.38233239632250365,0.44539481517617846,0.38619309717176004,0.3910415822074641,0.7671775817871094,0.3089450001716614,0.24872728953059053,0.7671775817871094,0.458232581615448,0.2631923700620535,150,377.93
10x_human_lymph_node_A1,wo_Dense_Gram,42,0.2654736943485203,0.3801492719227096,0.3762401311924988,0.43749837501184147,0.3801492719227096,0.40085609807475453,0.8123297691345215,0.3095110058784485,0.24949768832061453,0.8123297691345215,0.502818763256073,0.27527786372015295,150,397.77
10x_human_lymph_node_A1,wo_Spatial_Contrastive,42,0.24792204147047822,0.37916547915077575,0.375228089278937,0.433482894875729,0.37916547915077575,0.38588373841594253,0.7606455087661743,0.3048323094844818,0.24770244845243386,0.7606455087661743,0.4558131992816925,0.2568496264171726,150,391.2
10x_human_lymph_node_A1,wo_Reconstruction,42,0.24579956283867674,0.38305602176415865,0.3791723910232298,0.44146511258174453,0.38305602176415865,0.3829736360420786,0.7792789340019226,0.3057113587856293,0.2491062812927504,0.7792789340019226,0.47356757521629333,0.25689626859439174,149,383.78
10x_human_lymph_node_A1,Frozen_Encoder_DEC_Only,42,0.25068922360042817,0.3785632406795878,0.37460187075017765,0.4298959560922201,0.3785632406795878,0.3893141753253509,0.307155966758728,0.3069010376930237,0.24951402877206136,0.307155966758728,0.0002549290657043457,0.25074680830462137,1,369.61
10x_human_lymph_node_D1,Full_ARISE_v2,42,0.13872493525962973,0.3252400130228692,0.3199092134566828,0.39046100544761553,0.3252400130228692,0.29236919537571765,0.8418270945549011,0.28901535272598267,0.14212121923582197,0.8418270945549011,0.5528117418289185,0.142177970594243,147,371.59
10x_human_lymph_node_D1,wo_Potts_MRF,42,0.14123057332269273,0.32919001159051864,0.32385136549284094,0.39072831671626607,0.3291900115905186,0.29717543746024344,0.8206292390823364,0.2891419529914856,0.13943815364009818,0.8206292390823364,0.5314872860908508,0.14500864615510933,149,373.26
10x_human_lymph_node_D1,wo_Sinkhorn_OT,42,0.14530089134420188,0.3306113525849087,0.3252900633426928,0.3931427681594745,0.33061135258490865,0.3005903250095406,0.8307827115058899,0.2877442538738251,0.14481511839882136,0.8307827115058899,0.5430384576320648,0.14803409463950262,149,363.82
10x_human_lymph_node_D1,wo_Dense_Gram,42,0.1342187537405544,0.3285139191554737,0.3231484444097788,0.38878852138999964,0.3285139191554737,0.29205954265561956,0.8648554086685181,0.28844308853149414,0.1407471614683532,0.8648554086685181,0.5764123201370239,0.15129158599076578,143,375.87
10x_human_lymph_node_D1,wo_Spatial_Contrastive,42,0.1434321405402354,0.3286264072887536,0.3232805933069253,0.38976028487066766,0.32862640728875353,0.29940253492829133,0.8329518437385559,0.28787824511528015,0.14550415959305568,0.8329518437385559,0.5450735986232758,0.14950455925854012,149,373.97
10x_human_lymph_node_D1,wo_Reconstruction,42,0.1387472770400205,0.3251301054615448,0.31980003009273555,0.3904547348179907,0.3251301054615448,0.2923017672725698,0.8685103058815002,0.28958097100257874,0.1392348544956012,0.8685103058815002,0.5789293348789215,0.14243063382866245,149,367.95
10x_human_lymph_node_D1,Frozen_Encoder_DEC_Only,42,0.14594738235906166,0.31878899153769397,0.31336381085643167,0.3778000750877177,0.31878899153769397,0.3018536206499658,0.2884620726108551,0.28910019993782043,0.14230746168807173,0.2884620726108551,-0.000638127326965332,0.14835168171629054,7,347.29
